,tweet_id,retweet_count,favorite_count
2313,666373753744588802,90,185
2314,666362758909284353,563,764
2315,666353288456101888,71,215
2316,666345417576210432,133,288
2317,666337882303524864,90,194
2318,666293911632134144,349,491
2319,666287406224695296,64,144
2320,666273097616637952,76,171
2321,666268910803644416,35,100
2322,666104133288665088,6442,14094
2323,666102155909144576,12,78
2324,666099513787052032,66,151
2325,666094000022159362,72,161
2326,666082916733198337,44,114
2327,666073100786774016,160,316
2328,666071193221509120,59,142
2329,666063827256086533,214,465
2330,666058600524156928,57,109
2331,666057090499244032,139,289
2332,666055525042405380,241,429
2333,666051853826850816,839,1203
2334,666050758794694657,59,130
2335,666049248165822465,41,107
2336,666044226329800704,139,293
2337,666033412701032449,43,123
2338,666029285002620928,47,126
2339,666020888022790149,502,2539
